Dataset,Variable,Coefficient,Std_Error,z_value,p_value,Odds_Ratio,OR_CI_Lower,OR_CI_Upper,Significant
Hospitalization,Intercept,-2.2307,0.0703,-31.7212,0.0,0.1075,0.0936,0.1233,True
Hospitalization,C(sector)[T.Urban],-0.096,0.0244,-3.9382,0.0001,0.9085,0.8661,0.9529,True
Hospitalization,C(HH_size)[T.≤4 members],-0.3661,0.023,-15.9452,0.0,0.6934,0.6629,0.7253,True
Hospitalization,C(HH_education)[T.Below Secondary],0.0838,0.0251,3.3331,0.0009,1.0874,1.0351,1.1423,True
Hospitalization,C(HH_education)[T.Graduation & above],0.0184,0.0397,0.4631,0.6433,1.0185,0.9424,1.1009,False
Hospitalization,C(Religion)[T.Islam],0.0129,0.0323,0.3991,0.6898,1.013,0.9508,1.0792,False
Hospitalization,C(Religion)[T.Other],0.1175,0.0487,2.4135,0.0158,1.1247,1.0223,1.2374,True
Hospitalization,C(age_of_household_base60)[T.Below 60],-0.0968,0.0242,-3.9988,0.0001,0.9077,0.8657,0.9518,True
Hospitalization,C(insurance_cover)[T.1],-0.2229,0.0211,-10.5495,0.0,0.8002,0.7677,0.834,True
Hospitalization,C(Gender)[T.Male],0.0993,0.0304,3.2672,0.0011,1.1044,1.0405,1.1722,True
Hospitalization,C(Gender)[T.Transgender],-0.1747,0.7881,-0.2217,0.8246,0.8397,0.1792,3.9349,False
Hospitalization,C(economic_quintile)[T.2nd Quintile],0.0369,0.0351,1.0504,0.2935,1.0376,0.9686,1.1115,False
Hospitalization,C(economic_quintile)[T.3rd Quintile],-0.372,0.0354,-10.5121,0.0,0.6894,0.6432,0.7389,True
Hospitalization,C(economic_quintile)[T.4th Quintile],-0.962,0.0367,-26.2194,0.0,0.3821,0.3556,0.4106,True
Hospitalization,C(economic_quintile)[T.5th Quintile (Richest)],-1.8192,0.0403,-45.1858,0.0,0.1621,0.1498,0.1755,True
Hospitalization,C(Mejor_source_of_income)[T.Other],0.1321,0.0467,2.831,0.0046,1.1412,1.0415,1.2505,True
Hospitalization,C(Mejor_source_of_income)[T.Regular Wage],0.0543,0.0319,1.6998,0.0892,1.0558,0.9917,1.124,False
Hospitalization,C(Mejor_source_of_income)[T.Self-employed],0.1232,0.0259,4.7529,0.0,1.1311,1.0751,1.1901,True
Hospitalization,C(social_group)[T.SC],-0.0891,0.0252,-3.533,0.0004,0.9147,0.8706,0.9611,True
Hospitalization,C(social_group)[T.ST],-0.0872,0.0373,-2.3413,0.0192,0.9165,0.8519,0.9859,True
Hospitalization,Charity,1.4292,0.073,19.588,0.0,4.1752,3.6188,4.817,True
Hospitalization,Govt,0.0509,0.0401,1.2693,0.2043,1.0523,0.9727,1.1384,False
Hospitalization,Private,2.6733,0.0451,59.3235,0.0,14.4879,13.2632,15.8258,True
Hospitalization,INFECTION,-0.2993,0.0308,-9.717,0.0,0.7414,0.6979,0.7875,True
Hospitalization,CANCERS,1.8933,0.0814,23.2497,0.0,6.6414,5.6616,7.7907,True
Hospitalization,BLOOD_DISEASES,0.5809,0.0723,8.033,0.0,1.7876,1.5514,2.0598,True
Hospitalization,ENDOCRINE,0.3854,0.0615,6.2683,0.0,1.4703,1.3033,1.6586,True
Hospitalization,PSYCHIATRIC,0.7557,0.0446,16.9453,0.0,2.1291,1.9509,2.3236,True
Hospitalization,EYE,-0.3329,0.054,-6.166,0.0,0.7168,0.6448,0.7968,True
Hospitalization,EAR,-0.0182,0.1534,-0.1188,0.9054,0.9819,0.727,1.3263,False
Hospitalization,CARDIO_VASCULAR,0.6134,0.0383,16.0198,0.0,1.8467,1.7132,1.9906,True
Hospitalization,RESPIRATORY,0.3439,0.0522,6.5865,0.0,1.4104,1.2732,1.5624,True
Hospitalization,GASTRO,0.4005,0.0363,11.0437,0.0,1.4926,1.3902,1.6026,True
Hospitalization,SKIN,0.1547,0.1104,1.4008,0.1613,1.1673,0.9401,1.4494,False
Hospitalization,MUSCULO,0.8227,0.0548,15.0133,0.0,2.2766,2.0447,2.5347,True
Hospitalization,GENITO,0.735,0.0446,16.4618,0.0,2.0854,1.9107,2.2761,True
Hospitalization,OBSTETRIC,0.8084,0.0641,12.6059,0.0,2.2443,1.9792,2.5449,True
Hospitalization,INJURIES,0.7142,0.035,20.3985,0.0,2.0425,1.9071,2.1876,True
Hospitalization,KIDNEY_FAILURE,1.1089,0.0975,11.3699,0.0,3.0311,2.5037,3.6696,True
Hospitalization,SYMPTOM_UNKNOWN,0.5677,0.0682,8.3224,0.0,1.7643,1.5435,2.0167,True
Hospitalization,NO_SYMPTOM_INFO,0.508,0.2112,2.4055,0.0161,1.662,1.0987,2.5142,True
