Dataset,Variable,Coefficient,Std_Error,z_value,p_value,Odds_Ratio,OR_CI_Lower,OR_CI_Upper,Significant
Hospitalization,Intercept,-2.5009,0.0672,-37.2179,0.0,0.082,0.0719,0.0936,True
Hospitalization,C(sector)[T.Urban],0.0141,0.0234,0.6023,0.547,1.0142,0.9687,1.0618,False
Hospitalization,C(HH_size)[T.≤4 members],0.2379,0.022,10.8175,0.0,1.2686,1.215,1.3244,True
Hospitalization,C(HH_education)[T.Below Secondary],0.245,0.0248,9.8722,0.0,1.2776,1.2169,1.3412,True
Hospitalization,C(HH_education)[T.Graduation & above],-0.2953,0.0423,-6.9775,0.0,0.7443,0.6851,0.8087,True
Hospitalization,C(Religion)[T.Islam],0.0996,0.0308,3.2308,0.0012,1.1048,1.04,1.1736,True
Hospitalization,C(Religion)[T.Other],0.1109,0.0462,2.399,0.0164,1.1172,1.0205,1.2232,True
Hospitalization,C(age_of_household_base60)[T.Below 60],0.1125,0.0237,4.7433,0.0,1.1191,1.0682,1.1723,True
Hospitalization,C(insurance_cover)[T.1],0.0001,0.0207,0.0032,0.9975,1.0001,0.9602,1.0416,False
Hospitalization,C(Gender)[T.Male],-0.0811,0.0282,-2.8781,0.004,0.9221,0.8725,0.9744,True
Hospitalization,C(Gender)[T.Transgender],-0.5878,0.8269,-0.7109,0.4772,0.5555,0.1099,2.8092,False
Hospitalization,C(economic_quintile)[T.2nd Quintile],-0.0776,0.0336,-2.3104,0.0209,0.9253,0.8663,0.9883,True
Hospitalization,C(economic_quintile)[T.3rd Quintile],-0.026,0.0338,-0.7705,0.441,0.9743,0.9119,1.041,False
Hospitalization,C(economic_quintile)[T.4th Quintile],-0.1083,0.0346,-3.1274,0.0018,0.8974,0.8385,0.9604,True
Hospitalization,C(economic_quintile)[T.5th Quintile (Richest)],-0.4126,0.0374,-11.0259,0.0,0.6619,0.6151,0.7123,True
Hospitalization,C(Mejor_source_of_income)[T.Other],0.1728,0.0421,4.1048,0.0,1.1887,1.0945,1.2909,True
Hospitalization,C(Mejor_source_of_income)[T.Regular Wage],-0.4354,0.0305,-14.2648,0.0,0.647,0.6094,0.6869,True
Hospitalization,C(Mejor_source_of_income)[T.Self-employed],-0.4109,0.0242,-16.9579,0.0,0.663,0.6323,0.6953,True
Hospitalization,C(social_group)[T.SC],-0.0079,0.0239,-0.3282,0.7428,0.9922,0.9467,1.0398,False
Hospitalization,C(social_group)[T.ST],-0.3675,0.0376,-9.786,0.0,0.6925,0.6433,0.7454,True
Hospitalization,Charity,0.9038,0.0673,13.4288,0.0,2.469,2.1639,2.8172,True
Hospitalization,Govt,0.1706,0.0391,4.3661,0.0,1.186,1.0986,1.2804,True
Hospitalization,Private,1.3113,0.0418,31.4059,0.0,3.7109,3.4193,4.0274,True
Hospitalization,INFECTION,0.2506,0.0293,8.565,0.0,1.2848,1.2132,1.3606,True
Hospitalization,CANCERS,1.2869,0.0721,17.8611,0.0,3.6216,3.1446,4.1709,True
Hospitalization,BLOOD_DISEASES,0.6939,0.0672,10.3263,0.0,2.0016,1.7546,2.2833,True
Hospitalization,ENDOCRINE,0.4158,0.0599,6.9443,0.0,1.5156,1.3477,1.7043,True
Hospitalization,PSYCHIATRIC,0.6687,0.0428,15.6206,0.0,1.9517,1.7947,2.1226,True
Hospitalization,EYE,0.2825,0.0498,5.6727,0.0,1.3265,1.2031,1.4625,True
Hospitalization,EAR,0.485,0.1494,3.2464,0.0012,1.6241,1.2119,2.1766,True
Hospitalization,CARDIO_VASCULAR,0.6161,0.037,16.6334,0.0,1.8517,1.7221,1.9912,True
Hospitalization,RESPIRATORY,0.5518,0.0498,11.0796,0.0,1.7364,1.5749,1.9145,True
Hospitalization,GASTRO,0.5352,0.0355,15.0777,0.0,1.7077,1.593,1.8307,True
Hospitalization,SKIN,0.3864,0.1041,3.7105,0.0002,1.4716,1.2,1.8048,True
Hospitalization,MUSCULO,0.7599,0.0523,14.5331,0.0,2.1381,1.9299,2.3689,True
Hospitalization,GENITO,0.534,0.044,12.1398,0.0,1.7058,1.5649,1.8594,True
Hospitalization,OBSTETRIC,0.8695,0.06,14.4913,0.0,2.3856,2.1209,2.6833,True
Hospitalization,INJURIES,0.8015,0.0333,24.0383,0.0,2.2288,2.0878,2.3793,True
Hospitalization,KIDNEY_FAILURE,0.6766,0.0933,7.2528,0.0,1.9672,1.6385,2.3618,True
Hospitalization,SYMPTOM_UNKNOWN,0.8162,0.0636,12.8243,0.0,2.262,1.9967,2.5625,True
Hospitalization,NO_SYMPTOM_INFO,0.0918,0.2214,0.4149,0.6782,1.0962,0.7103,1.6916,False
