Dataset,Variable,Coefficient,Std_Error,t_value,p_value,CI_Lower,CI_Upper,Percent_Change,Significant
Non-Hospitalization,Intercept,6.796,0.0831,81.807,0.0,6.6331,6.9588,89322.684,True
Non-Hospitalization,C(sector)[T.Urban],-0.0237,0.0333,-0.712,0.4765,-0.089,0.0416,-2.3442,False
Non-Hospitalization,C(HH_size)[T.≤4 members],-0.1361,0.0296,-4.5987,0.0,-0.1942,-0.0781,-12.7282,True
Non-Hospitalization,C(HH_education)[T.Below Secondary],-0.1223,0.0336,-3.6368,0.0003,-0.1882,-0.0564,-11.5103,True
Non-Hospitalization,C(HH_education)[T.Graduation & above],0.2525,0.0556,4.5438,0.0,0.1436,0.3614,28.7223,True
Non-Hospitalization,C(Religion)[T.Islam],-0.0494,0.0433,-1.1404,0.2541,-0.1343,0.0355,-4.8207,False
Non-Hospitalization,C(Religion)[T.Other],0.0523,0.0648,0.8066,0.4199,-0.0748,0.1794,5.3689,False
Non-Hospitalization,C(age_of_household_base60)[T.Below 60],-0.1681,0.0357,-4.7146,0.0,-0.238,-0.0982,-15.4728,True
Non-Hospitalization,C(insurance_cover)[T.1],0.0089,0.0279,0.3193,0.7495,-0.0457,0.0635,0.8932,False
Non-Hospitalization,C(Gender)[T.Male],0.1684,0.0398,4.2297,0.0,0.0904,0.2465,18.3449,True
Non-Hospitalization,C(Gender)[T.Transgender],-1.2475,7.6309,-0.1635,0.8701,-16.2037,13.7088,-71.2764,False
Non-Hospitalization,C(economic_quintile)[T.2nd Quintile],-0.1453,0.0451,-3.2236,0.0013,-0.2337,-0.057,-13.5259,True
Non-Hospitalization,C(economic_quintile)[T.3rd Quintile],-0.1374,0.046,-2.9881,0.0028,-0.2275,-0.0473,-12.8356,True
Non-Hospitalization,C(economic_quintile)[T.4th Quintile],-0.0474,0.0476,-0.996,0.3192,-0.1408,0.0459,-4.6321,False
Non-Hospitalization,C(economic_quintile)[T.5th Quintile (Richest)],0.0007,0.0527,0.013,0.9896,-0.1025,0.1039,0.0685,False
Non-Hospitalization,C(Mejor_source_of_income)[T.Other],0.0788,0.0662,1.191,0.2336,-0.0509,0.2086,8.2041,False
Non-Hospitalization,C(Mejor_source_of_income)[T.Regular Wage],0.0336,0.0423,0.7945,0.4269,-0.0493,0.1165,3.4184,False
Non-Hospitalization,C(Mejor_source_of_income)[T.Self-employed],0.0522,0.0325,1.604,0.1087,-0.0116,0.1159,5.3537,False
Non-Hospitalization,C(social_group)[T.SC],-0.0072,0.0322,-0.2247,0.8222,-0.0704,0.0559,-0.7212,False
Non-Hospitalization,C(social_group)[T.ST],-0.0537,0.0455,-1.18,0.238,-0.143,0.0355,-5.2314,False
Non-Hospitalization,Charity,0.3923,0.1729,2.2694,0.0232,0.0535,0.7311,48.0356,True
Non-Hospitalization,Govt,0.2377,0.0365,6.5073,0.0,0.1661,0.3093,26.8369,True
Non-Hospitalization,Private,1.2033,0.0335,35.9293,0.0,1.1376,1.2689,233.1033,True
Non-Hospitalization,INFECTION,0.0683,0.0366,1.8664,0.062,-0.0034,0.1399,7.0642,False
Non-Hospitalization,CANCERS,1.1501,0.2284,5.0353,0.0,0.7024,1.5978,215.8573,True
Non-Hospitalization,BLOOD_DISEASES,0.849,0.1586,5.3518,0.0,0.5381,1.1599,133.7233,True
Non-Hospitalization,ENDOCRINE,0.3056,0.0426,7.1812,0.0,0.2222,0.389,35.7398,True
Non-Hospitalization,PSYCHIATRIC,0.4788,0.0495,9.6689,0.0,0.3817,0.5758,61.4102,True
Non-Hospitalization,EYE,0.4564,0.0949,4.8117,0.0,0.2705,0.6423,57.8371,True
Non-Hospitalization,EAR,0.1469,0.1561,0.9412,0.3466,-0.159,0.4527,15.8213,False
Non-Hospitalization,CARDIO_VASCULAR,0.4203,0.0409,10.2762,0.0,0.3401,0.5005,52.2429,True
Non-Hospitalization,RESPIRATORY,-0.25,0.0376,-6.658,0.0,-0.3236,-0.1764,-22.1223,True
Non-Hospitalization,GASTRO,0.4933,0.0538,9.1774,0.0,0.388,0.5987,63.7737,True
Non-Hospitalization,SKIN,0.51,0.0761,6.704,0.0,0.3609,0.6591,66.5274,True
Non-Hospitalization,MUSCULO,0.4069,0.0462,8.8111,0.0,0.3164,0.4974,50.2117,True
Non-Hospitalization,GENITO,0.6372,0.1056,6.0342,0.0,0.4302,0.8441,89.1095,True
Non-Hospitalization,OBSTETRIC,1.3488,0.2529,5.3324,0.0,0.853,1.8445,285.2619,True
Non-Hospitalization,INJURIES,0.9004,0.0714,12.6028,0.0,0.7604,1.0404,146.0536,True
Non-Hospitalization,KIDNEY_FAILURE,1.2517,0.2775,4.5106,0.0,0.7078,1.7955,249.6119,True
Non-Hospitalization,SYMPTOM_UNKNOWN,0.5036,0.1125,4.4763,0.0,0.2831,0.7241,65.4705,True
Non-Hospitalization,NO_SYMPTOM_INFO,0.5409,0.2597,2.0825,0.0373,0.0318,1.05,71.7567,True
